Project ID,Project Name,Sub-Region,Primary Municipality,Communities Served,Project Type,Voltage,MW Added,MW Expandable To,Target ISD,Status / Phase,ESMP Page,Permitting Notes,Source Project / Initiative
5,New East Eagle Substation #131,EMA-North Metro Boston,Boston (East Boston),"East Boston, Chelsea",New Substation,115/14kV,75,,2029,EFSB Tentative Decision (late 2022),352,EFSB 22-01 cert proceeding; underground transmission already installed,Mystic-East Eagle-Chelsea Reliability Project
18,New Cambridge #8025 Substation,EMA-North Metro Boston,Cambridge (Kendall Sq),"East Cambridge, Putnam, Somerville",New Underground Substation,115/14kV,90,120,2029,In construction (delayed from 2020 ISD),353,Underground; 5 duct banks + 8 new 115kV lines; integrated w/ Boston Properties Kendall Center Blue Garage redevelopment,Greater Cambridge Energy Project
22,New Hyde Park/Dorchester Substation,EMA-North Metro Boston,Boston (Hyde Park / Dorchester),"Hyde Park, Mattapan, Dorchester, Roslindale",New Substation,115kV,150,225,2029,Proposed,355,Hyde Park #496 already at 100% capacity; BES NWA being developed for interim,Hyde Park-Dorchester Area Solution
1,Somerville Substation #402 Expansion,EMA-North Metro Boston,Somerville,"Somerville, Cambridge",Substation Expansion,115kV,75,,2029,Approved / In Progress,356,3rd transformer + 2 distribution bus sections; driven by Boynton Yards & Union Square growth,Somerville Capacity Relief
13,Alewife Substation Transformer Addition,EMA-North Metro Boston,Cambridge (North),North Cambridge,Transformer Addition,115kV,75,,2029,Approved,356,Existing station with expansion capability,Alewife Capacity Expansion
27,New South End Substation,EMA-North Metro Boston,Boston (South End),"South End, Roxbury, Dorchester",New Substation,115kV,150,225,2034,Planned,357,Multiple 115kV underground transmission feeds required,Boston Substation Supply Initiative
30,New Allston/Fenway/Brookline Substation,EMA-North Metro Boston,Brookline,"Brookline, Fenway, LMA, Mission Hill, Jamaica Plain",New Substation,115kV,150,225,2034,Planned,358,Located in Brookline between Allston & Fenway; underground 115kV feeds,Boston Substation Supply Initiative
26,New Charlestown/Somerville Substation,EMA-North Metro Boston,Boston (Charlestown) / Somerville,"Charlestown, North End, Somerville",New Substation,115kV,150,225,2034,Planned,359,East or west of I-93/MBTA corridor; relieves Everett substation,Boston Substation Supply Initiative
32,New Metro Boston Network Substation,EMA-North Metro Boston,Boston (Downtown),"Beacon Hill, West End, North End, Chinatown, Leather District",New Substation (Underground Network),115kV,150,,2034,Planned,360,Serves the 6-substation downtown UG networked system; multiple 115kV UG feeds,Downtown Network Capacity
24,Electric Ave Substation Transformer Addition,EMA-North Metro Boston,Boston (Brighton/Allston),"Brighton, Allston",Transformer Addition,115kV,,,2034,Planned,361,Existing station with expansion capability,Boston Substation Supply Initiative
28,Seafood Way Substation Transformer Addition,EMA-North Metro Boston,Boston (Seaport),Seaport District,Transformer Addition,115kV,,,2034,Planned,361,Existing station with expansion capability,Boston Substation Supply Initiative
19,New Burlington Substation,EMA-North Metro West,Burlington,"Burlington, Lexington, Woburn, Wilmington",New Substation + Transmission,115/14kV,75,,2028,In Permitting / Design,371,~2 acres Eversource-owned land off Winn St; ~2.5 mi new OH transmission through Wilmington into Woburn; mobile transformer interim,Burlington-to-Woburn Supply Initiative
4,Medway Substation Upgrade,EMA-North Metro West,Medway,"Holliston, Medway, Millis, Norfolk",Transformer Replacement,115/14kV,20,,2025,Approved / In Progress,372,Replace 2x40 MVA with 62.5 MVA units + new HV breaker; 50 MVA mobile pre-staged Fall 2023,Medway Capacity Solution
17,Maynard Substation Upgrade,EMA-North Metro West,Maynard,"Acton, Maynard",Substation Upgrade,115kV,20,,2029,Interim Operational Solution,373,Interim measure; long-term solution is North Acton (29),Acton-Maynard Supply Initiative
25,New Saxonville/Natick Substation,EMA-North Metro West,Natick / Framingham,"Framingham, Natick, Holliston, Sherborn",New Substation,115/14kV,75,150,2031,Planning Phase,378,Located near transmission ROW between Saxonville #278 and Framingham Ring #240,Metro West Long-Range Plan
29,New North Acton Substation,EMA-North Metro West,Acton,"Acton, Maynard, Sudbury, Carlisle",New Substation,115kV,75,150,2033,Planning Phase,378,Long-term replacement for Maynard interim,Acton-Maynard Long-Term Solution
33,New Waltham Substation,EMA-North Metro West,Waltham,"Waltham, Weston",New Substation,115/14kV,75,150,2034,Planning Phase,378,Relieves North & West Waltham substations,Metro West Long-Range Plan
7,New Falmouth Tap Substation,EMA-South,Falmouth,"North Falmouth, Hatchville, South Bourne",Switching Station Rebuild + New Sub,115/23kV,75,,2026,In Design & Permitting,391,Rebuild existing #924 115kV switching station to breaker-and-a-half + new 115/23kV bulk distribution sub,Falmouth Tap Project
6,5th Submarine Cable to Martha's Vineyard,EMA-South,Falmouth / Tisbury,Martha's Vineyard,New Submarine Cable + Duct Bank,23kV,25,,2024,In Permitting & Design,393,2.7 mi underground duct bank from Falmouth Station (Stephens Lane) → Surf Drive; 6.1 mi submarine across Vineyard Sound → East Chop (Eastville Ave),Martha's Vineyard Reliability Project
22-47,Marion-Fairhaven Group CIP (Wing Lane / Crystal Spring / Rochester),EMA-South,Marion / Fairhaven / Rochester,"Fairhaven, Acushnet, Mattapoisett, Rochester, Marion",Multi-Substation Upgrade (CIP),115kV,,,2029,DPU 22-47 Approved,394,"Replace 6 existing transformers across Wing Lane #624, Crystal Spring #646, Rochester #745 (incl. new 37/50/62.5 MVA units)",DPU 22-47 Group Study CIP
EFT,East Freetown Group CIP (replaces New Bedford Group CIP),EMA-South,East Freetown,"New Bedford (north), East Freetown, Dartmouth, Acushnet, Rochester",New Substation (CIP),115kV,,,2029,Proposed CIP,399,New Substation #690; 69 MW DER + 12 MVA load transferred from Industrial Park #636 — RIGHT IN NEW BEDFORD AREA,East Freetown Group Study CIP
31,New Dennis/Brewster Substation,EMA-South,Dennis / Brewster,"Harwich, Dennis, Brewster, Chatham, Orleans",New Substation,115/23kV,75,,2034,Preliminary Stage,397,Lower Cape capacity solution,Lower Cape Capacity Project
2,Clinton Substation Transformer Upgrade,WMA,Springfield,Springfield (3 hospitals + commercial),Transformer Replacement,115/13.8kV,71,,2024,Internally Approved / In Progress,413,Replace 1 transformer + switchgears; serves critical hospital load,Clinton Capacity Upgrade
3,Franconia Substation Upgrade,WMA,Springfield / Longmeadow,"Springfield, Longmeadow",Transformer Replacement,115/13.8kV,5,,2024,Internally Approved,413,Replace 47 MVA transformer with 37.5/50/62.5 MVA,Franconia Capacity Upgrade
11,Plainfield Substation Upgrade,WMA,Plainfield,Plainfield area,Transformer Replacement,115kV,29,,2026,Internally Approved,413,Replace 5 MVA with 37/50/62.5 MVA,Plainfield Capacity Upgrade
10,Silver Substation Upgrade,WMA,Agawam,Agawam,Transformer Replacement (2x),115/14kV,17,,2026,Approved / In Progress,413,"Both transformers replaced with 37/50/62.5 MVA, one per year starting 2024",Silver Capacity Upgrade
12,Ludlow Substation Upgrade,WMA,Ludlow,Ludlow area,Substation Upgrade,115kV,37,,2026,Planning Phase,414,Single-transformer reliability fix; may add 2nd transformer or new distribution ROW,Ludlow Reliability Solution
16,Partridge Substation Upgrade,WMA,Dalton / Lanesborough,"Dalton, Lanesborough, New Ashford area",Substation Upgrade,115kV,32,,2026,Planning Phase,414,Single-transformer reliability fix,Partridge Reliability Solution
23,New Worthington Substation,WMA,Worthington,"Chester, Worthington, Plainfield, Blandford area",New Substation,115/23kV,75,,2030,Planning Phase,422,~200 mi long feeders currently; needs new sub + transmission infrastructure,Chester-Worthington Reliability Project
WD-CIP,Whately-Deerfield Group CIP,WMA,Whately / Deerfield / Hatfield,"Whately, Deerfield, Hatfield",New Substation (CIP),115/13.8kV,,,2034,Proposed CIP,422,"Relieves Cumberland #22B, Montague 21C, Podick 18G, French King 21B, Shelburne 29R; enables ~189 MVA new DER beyond 86 MW Group Study",Whately-Deerfield Group Study CIP
